000070,特发信息,Shenzhen,8,电信业务,802,通信设备,80201,通信设备,8020102,通信传输设备,,
000078,海王生物,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020203,药品经销商,,
000088,盐田港,Shenzhen,2,工业,203,交通运输,20304,道路运输,2030402,公路运输,,
000089,深圳机场,Shenzhen,2,工业,203,交通运输,20305,交通基本设施,2030501,机场,,
000090,天健集团,Shenzhen,2,工业,201,资本品,20103,建筑与工程,2010301,土木工程,,
000096,广聚能源,Shenzhen,0,能源,1,能源,102,石油与天然气,10203,石油与天然气的炼制和营销,,
000099,中信海直,Shenzhen,2,工业,203,交通运输,20301,航空货运与物流,2030101,航空货运,,
000100,TCL科技,Shenzhen,3,可选消费,302,耐用消费品与服装,30201,家庭耐用消费品,3020101,消费电子产品,300可选,CSI 300 Cons Disc
000150,宜华健康,Shenzhen,5,医药卫生,501,医疗器械与服务,50102,医疗用品与服务提供商,5010202,医疗保健服务,,
000151,中成股份,Shenzhen,2,工业,202,商业服务与用品,20201,商业服务与用品,2020104,工业品贸易商,,
000153,丰原药业,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020201,化学药,,
000155,川能动力,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010206,化肥与农药,,
000156,华数传媒,Shenzhen,3,可选消费,304,传媒,30401,传媒,3040102,广播与有线电视,,
000157,中联重科,Shenzhen,2,工业,201,资本品,20106,机械制造,2010602,工程机械,300工业,CSI 300 Industrials
000158,常山北明,Shenzhen,3,可选消费,302,耐用消费品与服装,30203,纺织服装,3020303,纺织品,,
000159,国际实业,Shenzhen,0,能源,1,能源,102,石油与天然气,10203,石油与天然气的炼制和营销,,
000166,申万宏源,Shenzhen,6,金融地产,603,资本市场,60301,资本市场,6030102,投资银行业与经纪业,300金融,CSI 300 Financials
000301,东方盛虹,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010205,纤维及树脂,,
000333,美的集团,Shenzhen,3,可选消费,302,耐用消费品与服装,30201,家庭耐用消费品,3020103,家用电器,300可选,CSI 300 Cons Disc
000338,潍柴动力,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,300工业,CSI 300 Industrials
000400,许继电气,Shenzhen,2,工业,201,资本品,20104,电气设备,2010401,电气部件与设备,,
000401,冀东水泥,Shenzhen,1,原材料,101,原材料,10103,建筑材料,1010301,水泥,,
000402,金 融 街,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000403,双林生物,Shenzhen,5,医药卫生,502,医药生物,50201,生物科技,5020101,生物科技,,
000404,长虹华意,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,,
000407,胜利股份,Shenzhen,9,公用事业,901,公用事业,90102,燃气,9010201,燃气,,
000408,藏格控股,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010206,化肥与农药,,
000409,ST地矿,Shenzhen,1,原材料,101,原材料,10106,钢铁,1010601,钢铁,,
000410,*ST沈机,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,,
000411,英特集团,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020203,药品经销商,,
000413,东旭光电,Shenzhen,7,信息技术,702,计算机及电子设备,70202,电子设备,7020202,光电子器件,300信息,CSI 300 Info Technology
000415,渤海租赁,Shenzhen,2,工业,202,商业服务与用品,20201,商业服务与用品,2020105,其他商业服务,300工业,CSI 300 Industrials
000416,民生控股,Shenzhen,6,金融地产,602,其他金融,60202,消费信贷,6020201,消费信贷,,
000417,合肥百货,Shenzhen,3,可选消费,305,零售业,30503,多元化零售,3050301,百货商店,,
000419,通程控股,Shenzhen,3,可选消费,305,零售业,30503,多元化零售,3050302,综合货品商店,,
000420,吉林化纤,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010205,纤维及树脂,,
000421,南京公用,Shenzhen,9,公用事业,901,公用事业,90102,燃气,9010201,燃气,,
000422,ST宜化,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010206,化肥与农药,,
000423,东阿阿胶,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020202,中药,300医药,CSI 300 Health Care
000425,徐工机械,Shenzhen,2,工业,201,资本品,20106,机械制造,2010602,工程机械,300工业,CSI 300 Industrials
000426,兴业矿业,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010505,其它有色金属及合金,,
000428,华天酒店,Shenzhen,3,可选消费,303,消费者服务,30301,酒店、餐馆与休闲,3030102,酒店,,
000429,粤高速Ａ,Shenzhen,2,工业,203,交通运输,20305,交通基本设施,2030502,高速公路,,
000430,张家界,Shenzhen,3,可选消费,303,消费者服务,30301,酒店、餐馆与休闲,3030101,景点,,
000488,晨鸣纸业,Shenzhen,1,原材料,101,原材料,10108,纸类与林业产品,1010802,纸制品,,
000498,山东路桥,Shenzhen,2,工业,201,资本品,20103,建筑与工程,2010301,土木工程,,
000501,鄂武商Ａ,Shenzhen,3,可选消费,305,零售业,30503,多元化零售,3050301,百货商店,,
000502,绿景控股,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000503,国新健康,Shenzhen,7,信息技术,701,计算机运用,70101,互联网服务,7010101,互联网信息服务,,
000504,*ST生物,Shenzhen,2,工业,201,资本品,20107,环保设备、工程与服务,2010703,环保服务,,
000505,京粮控股,Shenzhen,4,主要消费,402,食品、饮料与烟草,40204,农牧渔产品,4020403,其他农产品,,
000506,中润资源,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010503,黄金及其它贵金属,,
000507,珠海港,Shenzhen,2,工业,203,交通运输,20305,交通基本设施,2030504,港口,,
000509,华塑控股,Shenzhen,2,工业,201,资本品,20102,建筑产品,2010201,建筑产品,,
000510,新金路,Shenzhen,1,原材料,101,原材料,10101,化学原料,1010101,化学原料,,
000513,丽珠集团,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020201,化学药,,
000514,渝开发,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000516,国际医学,Shenzhen,5,医药卫生,501,医疗器械与服务,50102,医疗用品与服务提供商,5010203,医疗保健机构,,
000517,荣安地产,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000518,四环生物,Shenzhen,5,医药卫生,502,医药生物,50201,生物科技,5020101,生物科技,,
000519,中兵红箭,Shenzhen,2,工业,201,资本品,20101,航空航天与国防,2010101,航空航天与国防,,
000520,长航凤凰,Shenzhen,2,工业,203,交通运输,20303,航运,2030301,航运,,
000521,长虹美菱,Shenzhen,3,可选消费,302,耐用消费品与服装,30201,家庭耐用消费品,3020103,家用电器,,
000523,广州浪奇,Shenzhen,4,主要消费,403,家庭与个人用品,40301,家常用品,4030101,家常用品,,
000524,岭南控股,Shenzhen,3,可选消费,303,消费者服务,30301,酒店、餐馆与休闲,3030102,酒店,,
000525,红 太 阳,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010206,化肥与农药,,
000526,紫光学大,Shenzhen,3,可选消费,303,消费者服务,30302, 综合消费者服务,3030201,教育服务,,
000528,柳工,Shenzhen,2,工业,201,资本品,20106,机械制造,2010602,工程机械,,
000529,广弘控股,Shenzhen,4,主要消费,402,食品、饮料与烟草,40202,包装食品与肉类,4020201,包装食品与肉类,,
000530,冰山冷热,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,,
000531,穗恒运Ａ,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010101,火电,,
000532,华金资本,Shenzhen,7,信息技术,702,计算机及电子设备,70202,电子设备,7020201,电子设备及仪表制造商,,
000533,顺钠股份,Shenzhen,2,工业,201,资本品,20104,电气设备,2010401,电气部件与设备,,
000534,万泽股份,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020201,化学药,,
000536,华映科技,Shenzhen,7,信息技术,702,计算机及电子设备,70202,电子设备,7020202,光电子器件,,
000537,广宇发展,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000538,云南白药,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020202,中药,300医药,CSI 300 Health Care
000539,粤电力Ａ,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010101,火电,,
000540,中天金融,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000541,佛山照明,Shenzhen,3,可选消费,302,耐用消费品与服装,30201,家庭耐用消费品,3020103,家用电器,,
000543,皖能电力,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010101,火电,,
000544,中原环保,Shenzhen,2,工业,201,资本品,20107,环保设备、工程与服务,2010703,环保服务,,
000545,金浦钛业,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010201,涂料涂漆,,
000546,金圆股份,Shenzhen,1,原材料,101,原材料,10103,建筑材料,1010301,水泥,,
000547,航天发展,Shenzhen,2,工业,201,资本品,20101,航空航天与国防,2010101,航空航天与国防,,
000548,湖南投资,Shenzhen,2,工业,203,交通运输,20305,交通基本设施,2030502,高速公路,,
000550,江铃汽车,Shenzhen,3,可选消费,301,汽车与汽车零部件,30102,汽车与摩托车,3010201,汽车,,
000551,创元科技,Shenzhen,2,工业,201,资本品,20105,工业集团企业,2010501,工业集团企业,,
000552,靖远煤电,Shenzhen,0,能源,1,能源,103,煤炭,10301,煤炭,,
000553,安道麦A,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010206,化肥与农药,,
000554,泰山石油,Shenzhen,0,能源,1,能源,102,石油与天然气,10203,石油与天然气的炼制和营销,,
000555,神州信息,Shenzhen,7,信息技术,701,计算机运用,70102,信息技术服务,7010201,系统集成及IT咨询,,
000557,西部创业,Shenzhen,2,工业,203,交通运输,20304,道路运输,2030401,铁路运输,,
000558,莱茵体育,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000559,万向钱潮,Shenzhen,3,可选消费,301,汽车与汽车零部件,30101,汽车零配件与轮胎,3010101,汽车零配件,,
000560,我爱我家,Shenzhen,6,金融地产,605,房地产,60502,房地产管理与服务,6050201,房地产管理与服务,,
000561,烽火电子,Shenzhen,8,电信业务,802,通信设备,80201,通信设备,8020101,通信终端设备,,
000563,陕国投Ａ,Shenzhen,6,金融地产,602,其他金融,60201,其他金融服务,6020101,其它综合性金融服务,,
000564,供销大集,Shenzhen,3,可选消费,305,零售业,30503,多元化零售,3050301,百货商店,,
000565,渝三峡Ａ,Shenzhen,1,原材料,101,原材料,10102,化学制品,1010201,涂料涂漆,,
000566,海南海药,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020201,化学药,,
000567,海德股份,Shenzhen,6,金融地产,603,资本市场,60301,资本市场,6030101,资产管理与托管银行,,
000568,泸州老窖,Shenzhen,4,主要消费,402,食品、饮料与烟草,40201,饮料,4020101,白酒,300消费,CSI 300 Cons Staples
000570,苏常柴Ａ,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,,
000571,*ST大洲,Shenzhen,0,能源,1,能源,103,煤炭,10301,煤炭,,
000572,*ST海马,Shenzhen,3,可选消费,301,汽车与汽车零部件,30102,汽车与摩托车,3010201,汽车,,
000573,粤宏远Ａ,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000576,广东甘化,Shenzhen,1,原材料,101,原材料,10108,纸类与林业产品,1010802,纸制品,,
000581,威孚高科,Shenzhen,3,可选消费,301,汽车与汽车零部件,30101,汽车零配件与轮胎,3010101,汽车零配件,,
000582,北部湾港,Shenzhen,2,工业,203,交通运输,20305,交通基本设施,2030504,港口,,
000584,哈工智能,Shenzhen,2,工业,201,资本品,20106,机械制造,2010607,其他机械设备,,
000585,ST东电,Shenzhen,2,工业,201,资本品,20104,电气设备,2010401,电气部件与设备,,
000586,汇源通信,Shenzhen,8,电信业务,802,通信设备,80201,通信设备,8020102,通信传输设备,,
000587,金洲慈航,Shenzhen,3,可选消费,302,耐用消费品与服装,30204,珠宝与奢侈品,3020401,珠宝与奢侈品,,
000589,贵州轮胎,Shenzhen,3,可选消费,301,汽车与汽车零部件,30101,汽车零配件与轮胎,3010102,轮胎,,
000590,启迪古汉,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020202,中药,,
000591,太阳能,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010104,新能源发电,,
000592,平潭发展,Shenzhen,1,原材料,101,原材料,10108,纸类与林业产品,1010801,林业产品,,
000593,大通燃气,Shenzhen,9,公用事业,901,公用事业,90102,燃气,9010201,燃气,,
000595,宝塔实业,Shenzhen,2,工业,201,资本品,20106,机械制造,2010601,通用机械,,
000596,古井贡酒,Shenzhen,4,主要消费,402,食品、饮料与烟草,40201,饮料,4020101,白酒,300消费,CSI 300 Cons Staples
000597,东北制药,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020201,化学药,,
000598,兴蓉环境,Shenzhen,9,公用事业,901,公用事业,90104,水务,9010401,水务,,
000599,青岛双星,Shenzhen,3,可选消费,301,汽车与汽车零部件,30101,汽车零配件与轮胎,3010102,轮胎,,
000600,建投能源,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010101,火电,,
000601,韶能股份,Shenzhen,9,公用事业,901,公用事业,90101,电力,9010102,水电,,
000603,盛达资源,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010505,其它有色金属及合金,,
000605,渤海股份,Shenzhen,9,公用事业,901,公用事业,90104,水务,9010401,水务,,
000606,顺利办,Shenzhen,7,信息技术,701,计算机运用,70101,互联网服务,7010101,互联网信息服务,,
000607,华媒控股,Shenzhen,3,可选消费,304,传媒,30401,传媒,3040101,营销与广告,,
000608,阳光股份,Shenzhen,6,金融地产,605,房地产,60502,房地产管理与服务,6050201,房地产管理与服务,,
000609,中迪投资,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000610,西安旅游,Shenzhen,3,可选消费,303,消费者服务,30301,酒店、餐馆与休闲,3030106,旅行社,,
000611,*ST天首,Shenzhen,3,可选消费,302,耐用消费品与服装,30203,纺织服装,3020303,纺织品,,
000612,焦作万方,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010501,铝,,
000613,大东海A,Shenzhen,3,可选消费,303,消费者服务,30301,酒店、餐馆与休闲,3030102,酒店,,
000615,京汉股份,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000616,海航投资,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000617,中油资本,Shenzhen,6,金融地产,602,其他金融,60201,其他金融服务,6020101,其它综合性金融服务,,
000619,海螺型材,Shenzhen,2,工业,201,资本品,20102,建筑产品,2010201,建筑产品,,
000620,新华联,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000622,恒立实业,Shenzhen,3,可选消费,301,汽车与汽车零部件,30101,汽车零配件与轮胎,3010101,汽车零配件,,
000623,吉林敖东,Shenzhen,5,医药卫生,502,医药生物,50202,制药,5020202,中药,,
000625,长安汽车,Shenzhen,3,可选消费,301,汽车与汽车零部件,30102,汽车与摩托车,3010201,汽车,300可选,CSI 300 Cons Disc
000626,远大控股,Shenzhen,2,工业,202,商业服务与用品,20201,商业服务与用品,2020104,工业品贸易商,,
000627,天茂集团,Shenzhen,6,金融地产,604,保险,60401,保险,6040101,人寿与健康保险,300金融,CSI 300 Financials
000628,高新发展,Shenzhen,2,工业,201,资本品,20103,建筑与工程,2010301,土木工程,,
000629,攀钢钒钛,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010505,其它有色金属及合金,300材料,CSI 300 Materials
000630,铜陵有色,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010502,铜,300材料,CSI 300 Materials
000631,顺发恒业,Shenzhen,6,金融地产,605,房地产,60501,房地产开发与园区,6050101,房地产开发,,
000632,三木集团,Shenzhen,2,工业,202,商业服务与用品,20201,商业服务与用品,2020104,工业品贸易商,,
000633,合金投资,Shenzhen,1,原材料,101,原材料,10105,有色金属,1010505,其它有色金属及合金,,
000635,英 力 特,Shenzhen,1,原材料,101,原材料,10101,化学原料,1010101,化学原料,,
000636,风华高科,Shenzhen,7,信息技术,702,计算机及电子设备,70202,电子设备,7020201,电子设备及仪表制造商,,
000637,茂化实华,Shenzhen,0,能源,1,能源,102,石油与天然气,10203,石油与天然气的炼制和营销,,
